French,English
partie,part
seulement,only
frère,brother
mettre,to put
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
aucune,any
compris,understood
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
venu,came
pardon,sorry
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
attendez,Wait
nouvelle,new
arrêter,Stop
compte,account
croire,believe
plutôt,rather
aura,will have
filles,girls
bureau,office
